root	I	II	III	V	VI	VII	VIII	IX	X
ħ-l-s²	ħeles	ħelles		tħelles		nħeles			
ħ-l-t	ħalat	ħallat		tħallat	tħalat		ħtalat		
ħ-m-d	ħemed	ħemmed,		tħemmed					
ħ-m-d		ħammed							
ħ-m-ġ		ħammeġ		tħammeġ					
ħ-m-l	ħamel	ħammel,		tħammel,	tħamel	nħamel			
ħ-m-l		ħemmel		tħemmel					
ħ-m-m¹	ħemm	ħemħem							
ħ-m-m²		ħammem							
ħ-m-r¹		ħammar		tħammar		nħamar		ħmar	
ħ-m-r²	ħemer	ħemmer		*tħemmer					
ħ-m-s¹		ħammes,		tħammes					
ħ-m-s¹		ħemmes							
ħ-m-s²		ħemmes							
ħ-m-ż	*ħameż								
ħ-n-k		ħannek		tħannek					
ħ-n-n¹	ħenn,	ħannen		tħannen					
ħ-n-n¹	ħann								
ħ-n-n²	ħinn								
ħ-n-q	ħanaq,	ħannaq		tħannaq		nħanaq	ħtanaq		
ħ-n-q	ħonoq								
ħ-n-s	*ħanes			tħannes					
ħ-n-x		ħannex		tħannex					
ħ-q-q	ħaqq	ħaqqaq		tħaqqaq					stħaqq
ħ-q-r	ħaqar	*ħaqqar				nħaqar			
ħ-r-b¹	ħarab,	ħarrab		tħarrab		nħarab			
ħ-r-b¹	harab								
ħ-r-b²		ħarreb	ħareb	tħarreb	tħareb				
ħ-r-f¹		ħarref		tħarref					
ħ-r-f²	ħorof,								
ħ-r-f²	ħeref								
ħ-r-f³	ħorof								
ħ-r-ġ	ħareġ	ħarreġ		tħarreġ		nħareġ			stħarreġ,
ħ-r-ġ									staħreġ
ħ-r-m	ħorom	*ħarrem							
ħ-r-q¹	ħaraq	ħarraq,		tħarraq		nħaraq	ħteraq		
ħ-r-q¹		ħerraq							
ħ-r-q²		ħarraq		*tħarraq					
ħ-r-q³		ħarraq							
ħ-r-r		ħarrar	ħarar	tħarrar					
ħ-r-s			ħares		tħares				
ħ-r-t¹	ħarat,	ħarrat				nħarat			
ħ-r-t¹	horot								
ħ-r-t²	ħorot,								
ħ-r-t²	ħarat								
ħ-r-x		ħarrax		tħarrax				ħrax	
ħ-s-b	ħaseb	ħasseb		tħasseb	tħaseb	nħaseb,			
ħ-s-b						ntħaseb			
ħ-s-d	ħasad	*ħassad				nħasad			
ħ-s-l¹	ħasel	ħassel				nħasel			
ħ-s-l²	ħesel,	ħassel		tħassel					
ħ-s-l²	ħasel,								
ħ-s-l²	ħasal								
ħ-s-r¹		ħassar		tħassar					
ħ-s-r²		*ħassar		tħassar					
ħ-s-r³	ħiser,								
ħ-s-r³	ħeser								
ħ-s-r⁴	ħeser								
ħ-s-s	ħass	ħasses		tħasses		nħass			
ħ-t-b¹		ħattab		tħattab					
ħ-t-b²		ħatteb		tħatteb					
ħ-t-b³	ħotob,					nħotob			
ħ-t-b³	ħatab								
