quad										b
										
p-r-t-t	partat	tpartat						q-r-d-x	qardax	tqardax
p-r-t-x	partax	tpartax						q-r-m-ċ	qarmeċ	tqarmeċ
p-s-p-r	paspar	tpaspar						q-r-n-s	qarnas	tqarnas
p-s-p-s	pespes	tpespes						q-r-q-ċ	qarqaċ	tqarqaċ
p-s-t-r	pastar							q-r-t-f	qartaf	tqartaf
p-s-t-ż	pastaż	tpastaż						q-r-t-m	qartam	tqartam
		/q				r				s
										
root	I	II		root	I	II		root	I	II
q-r-t-s	qartas	tqartas		r-ċ-p-l	reċpel			s-f-s-f	sefsef	ssefsef
q-r-w-ż	qarweż	tqarweż		r-m-b-l	rambal,	trembel,		s-f-t-r	sefter	
q-s-d-r/q-ż-d-r	qasdar,	tqasdar			rembel,	trambel		s-għ-t-r		ssagħtar
	qażdar				rambel			s-k-s-f	seksef	
q-w-q-b	qawqeb,	tqawqab,		r-m-p-l	rampel,	trampel		s-k-r-n		ssakran
	qawqab	tqawqeb			rampal			s-k-s-k	seksek	sseksek
q-x-l-f	qaxlef	tqaxlef		r-n-d-j	renda	trenda		s-l-s-l	selsel	
q-x-q-x	qaxqax	tqaxqax		r-n-ġ-j		tranġa		s-l-p-j	salpa	
q-ż-q-ż	qażqaż,	tqażqaż		r-n-ġ-t	ranġat	tranġat		s-l-t-n	saltan	
	qażqeż			r-s-t-t	rastat			s-l-v-j¹	salva	ssalva
q-ż-w-t	qażwat			r-x-k-j	raxka,			s-l-v-j²	solva	ssolva
					raska			s-m-l-ħ		ssemlaħ
				r-x-t-l	rixtel	trixtel		s-m-p-l	sempel	
								s-m-s-m	samsam	
								s-m-s-r	samsar	ssamsar
								s-n-d-q	sendaq	
								s-n-d-r	sandar	
								s-n-ġ-t	sangat	
								s-n-s-l	sensel	ssensel
								s-n-s-r	sensar	
								s-p-n-j		ssapna,
										nsapna
								s-q-s-j	saqsa,	
									staqsa	
		/s				t				v
										
root	I	II		root	I	II		root	I	II
s-r-b-t	sarbat	ssarbat		t-f-t-f	teftef	tteftef		v-l-ġ-j	volġa	
s-r-d-n	sardan	ssardan		t-għ-t-għ	tagħtagħ			v-l-j-j¹	vilja	
s-r-d-q/s-r-d-k	serdaq	sserdaq,		t-ħ-t-ħ	taħtaħ			v-l-j-j²	vilja	
		sserdek		t-k-t-k	tektek	ttektek		v-n-ċ-j	vinċa	tvinċa
s-r-ġ-j	sorġa			t-m-t-m	temtem	ttemtem		v-n-v-n	venven	tvenven
s-r-ġ-t	sarġat			t-n-b-r	tanbar	ttanbar		v-r-j-j	varja	tvarja
s-r-s-j		ssarsa		t-n-f-x	tenfex	ttenfex		v-r-v-r	verver	
s-r-s-r¹	sarsar,			t-n-k-l	tenkel					
	ssarsa			t-n-t-n	tenten					
s-r-s-r²	serser			t-n-t-x	tentex	ttentex				
s-r-v-j	serva	sserva		t-p-t-p¹/t-b-t-b	taptap,					
s-r-w-l/s-r-w-n	sarwal,	ssarwal			tabtab					
	sarwan			t-p-t-p²	teptep					
				t-q-t-q	taqtaq					
				t-r-b-ċ	tarbaċ	ttarbaċ				
				t-r-n-j¹	torna					
				t-r-n-j²	*torna					
